날짜,참돔_대,참돔_중,참돔_소,d참돔_대,d참돔_중,d참돔_소
2019-03-07,16118,15264,7102,0.0,0.0,0.0
2019-03-08,14550,10753,8239,-0.09728254126,-0.2955319706,0.1600957477
2019-03-09,14911,11497,9163,0.02481099656,0.06918999349,0.1121495327
2019-03-11,14911,11497,9163,0.0,0.0,0.0
2019-03-12,14010,10000,8346,-0.06042518946,-0.1302078803,-0.0891629379
2019-03-13,15465,12548,10472,0.1038543897,0.2548,0.2547328061
2019-03-14,17246,13248,9742,0.1151632719,0.05578578259,-0.06970970206
2019-03-15,19273,15377,8238,0.1175345008,0.1607035024,-0.1543830836
2019-03-16,19273,15377,8238,0.0,0.0,0.0
2019-03-18,19273,15377,8238,0.0,0.0,0.0
2019-03-19,17052,14517,10000,-0.1152389353,-0.0559276842,0.2138868657
2019-03-20,17924,16598,12930,0.05113769646,0.1433491768,0.293
2019-03-21,17225,13961,9841,-0.03899799152,-0.1588745632,-0.2389017788
2019-03-22,17414,16150,11596,0.0109724238,0.1567939259,0.178335535
2019-03-23,17414,16150,11596,0.0,0.0,0.0
2019-03-25,17079,15477,10800,-0.0192373952,-0.04167182663,-0.06864436012
2019-03-26,16799,14564,6641,-0.01639440248,-0.05899076048,-0.3850925926
2019-03-27,15887,14321,10000,-0.05428894577,-0.01668497665,0.5057973197
2019-03-28,16224,13234,9088,0.02121231195,-0.07590252077,-0.0912
2019-03-29,16414,15204,12706,0.01171104536,0.1488589995,0.3981073944
2019-03-30,16474,14594,8334,0.003655416108,-0.04012102078,-0.3440894066
2019-04-01,15812,14110,10339,-0.0401845332,-0.0331643141,0.2405807535
2019-04-02,15196,14703,13849,-0.0389577536,0.04202693125,0.3394912467
2019-04-03,15492,14128,11350,0.01947881021,-0.0391076651,-0.1804462416
2019-04-04,16149,13368,10000,0.04240898528,-0.05379388448,-0.1189427313
2019-04-05,15843,14866,8889,-0.01894854171,0.1120586475,-0.1111
